event_id,start_time,end_time,trade_count,total_volume_eth,total_profit,avg_spread,direction,strong_signal_ratio,arbitrage_type
0,2025-12-01 00:04:47+00:00,2025-12-01 00:04:47+00:00,2,12.67992988259867,21.060337232246248,-12.005394193187612,sell,0.0,"Sell on Uniswap, Buy on Binance"
1,2025-12-01 00:05:11+00:00,2025-12-01 00:05:11+00:00,1,3.50203839440907,5.003226390504621,-10.42866120442659,sell,0.0,"Sell on Uniswap, Buy on Binance"
2,2025-12-01 00:05:23+00:00,2025-12-01 00:05:23+00:00,1,2.714354524585458,5.67702258204643,-11.091481613999349,sell,0.0,"Sell on Uniswap, Buy on Binance"
3,2025-12-01 00:05:35+00:00,2025-12-01 00:05:35+00:00,3,19.105081846025342,90.97418497390862,-14.231869750561449,sell,0.0,"Sell on Uniswap, Buy on Binance"
4,2025-12-01 00:05:47+00:00,2025-12-01 00:05:47+00:00,2,2.4419604697614674,4.6997484422946485,-10.986567227264004,sell,0.0,"Sell on Uniswap, Buy on Binance"
5,2025-12-01 00:05:59+00:00,2025-12-01 00:05:59+00:00,1,0.1621226297487806,0.593083462143237,-12.65823983402106,sell,0.0,"Sell on Uniswap, Buy on Binance"
6,2025-12-01 00:06:11+00:00,2025-12-01 00:06:11+00:00,1,3.2000816910670737,2.4246170933355216,-9.757673499430894,sell,0.0,"Sell on Uniswap, Buy on Binance"
7,2025-12-01 00:06:23+00:00,2025-12-01 00:06:23+00:00,2,3.5994451394644544,11.962471633318257,-12.38623566053866,sell,0.0,"Sell on Uniswap, Buy on Binance"
8,2025-12-01 00:06:47+00:00,2025-12-01 00:06:47+00:00,5,2.291751238718049,21.442212741093893,-20.411507630740108,sell,0.0,"Sell on Uniswap, Buy on Binance"
9,2025-12-01 00:06:59+00:00,2025-12-01 00:06:59+00:00,1,0.0451203153841497,0.6403774416100547,-23.192663241778064,sell,0.0,"Sell on Uniswap, Buy on Binance"
10,2025-12-01 00:07:23+00:00,2025-12-01 00:07:23+00:00,1,0.968410472104166,15.029459211648136,-24.519719834288935,sell,0.0,"Sell on Uniswap, Buy on Binance"
11,2025-12-01 00:07:47+00:00,2025-12-01 00:07:47+00:00,2,0.1403192399781189,3.2331103906728185,-31.63177567135267,sell,0.5,"Sell on Uniswap, Buy on Binance"
12,2025-12-01 00:08:11+00:00,2025-12-01 00:08:11+00:00,2,3.15140318283003,50.13442469562031,-24.319610559876992,sell,0.0,"Sell on Uniswap, Buy on Binance"
13,2025-12-01 00:08:23+00:00,2025-12-01 00:08:23+00:00,2,0.09643437016355941,1.782339325978216,-25.927094817301395,sell,0.0,"Sell on Uniswap, Buy on Binance"
14,2025-12-01 00:08:35+00:00,2025-12-01 00:08:35+00:00,11,9.99347982475215,136.48493002769817,-23.674182280483407,sell,0.0,"Sell on Uniswap, Buy on Binance"
15,2025-12-01 00:08:59+00:00,2025-12-01 00:08:59+00:00,1,0.8077612253409041,3.6149456559770075,-13.475265143423258,sell,0.0,"Sell on Uniswap, Buy on Binance"
16,2025-12-01 00:09:11+00:00,2025-12-01 00:09:11+00:00,2,2.590144682140501,4.515068979965274,-10.49721551635912,sell,0.0,"Sell on Uniswap, Buy on Binance"
17,2025-12-01 00:09:23+00:00,2025-12-01 00:09:23+00:00,1,0.1314912649987196,0.6291370723626464,-13.784630160556844,sell,0.0,"Sell on Uniswap, Buy on Binance"
